,variable,coef,abs_coef
33,log_saleprice,56671.786988143016,56671.786988143016
34,total_sf,9388.619303644133,9388.619303644133
220,neighborhood_NridgHt,6275.273472414923,6275.273472414923
6,bsmtfin_sf_1,4102.43126876654,4102.43126876654
226,neighborhood_StoneBr,3990.7197531962415,3990.7197531962415
5,mas_vnr_area,3315.5536947687046,3315.5536947687046
48,ms_subclass_120,-3275.0648332565734,3275.0648332565734
337,year_built_2008,2975.61340010018,2975.61340010018
38,ms_subclass_30,2884.4535113045526,2884.4535113045526
18,bedroom_abvgr,-2754.208505941627,2754.208505941627
219,neighborhood_NoRidge,2742.2570721027537,2742.2570721027537
417,garage_yr_blt_1928.0,2486.484419298042,2486.484419298042
163,central_air_Y,-2478.2895556331555,2478.2895556331555
115,exterior_1st_CemntBd,2434.5513876654322,2434.5513876654322
150,bsmtfin_type_1_None,2347.048516047469,2347.048516047469
65,land_contour_HLS,2218.4520002160493,2218.4520002160493
182,garage_finish_RFn,-2215.6954824565196,2215.6954824565196
3,overall_qual,2055.1217542866216,2055.1217542866216
199,sale_type_New,1856.4740822874246,1856.4740822874246
255,year_built_1923,1771.2806331212696,1771.2806331212696
53,ms_zoning_C (all),1724.131117991085,1724.131117991085
23,garage_area,1447.1900056905197,1447.1900056905197
177,garage_type_BuiltIn,1432.0033530913465,1432.0033530913465
148,bsmtfin_type_1_GLQ,1382.8604483024749,1382.8604483024749
2,lot_area,1370.6105591848775,1370.6105591848775
412,garage_yr_blt_1923.0,-1327.9256624463928,1327.9256624463928
260,year_built_1928,-1283.054717274475,1283.054717274475
28,screen_porch,1239.385813806274,1239.385813806274
13,gr_liv_area,1238.7014546150629,1238.7014546150629
499,garage_yr_blt_None,1152.400872315183,1152.400872315183
86,condition_2_PosA,1121.6405420288465,1121.6405420288465
104,roof_style_Hip,1106.653493347419,1106.653493347419
496,garage_yr_blt_2009.0,1085.7138667295012,1085.7138667295012
160,heating_Grav,1014.3388919020276,1014.3388919020276
211,neighborhood_GrnHill,987.4185297166449,987.4185297166449
168,functional_Maj2,919.9970024272563,919.9970024272563
172,functional_Sal,879.2218271160881,879.2218271160881
152,bsmtfin_type_1_Unf,865.2272785427385,865.2272785427385
140,mas_vnr_type_None,860.788403179151,860.788403179151
42,ms_subclass_60,858.503739847962,858.503739847962
492,garage_yr_blt_2005.0,841.9703792757917,841.9703792757917
70,lot_config_CulDSac,806.7089496175788,806.7089496175788
201,sale_type_WD ,-784.5395671599744,784.5395671599744
159,heating_GasW,-775.6299756588235,775.6299756588235
47,ms_subclass_90,-696.8427638775674,696.8427638775674
203,neighborhood_BrDale,689.5459374728471,689.5459374728471
362,year_remod/add_1973,-667.3382863924205,667.3382863924205
330,year_built_2001,662.9729973005369,662.9729973005369
79,condition_1_PosN,660.593478819904,660.593478819904
113,exterior_1st_BrkFace,655.429998839117,655.429998839117
254,year_built_1922,654.4338635185003,654.4338635185003
185,paved_drive_Y,-637.7875517569456,637.7875517569456
116,exterior_1st_HdBoard,-621.7435477878136,621.7435477878136
1,lot_frontage,591.5356009977304,591.5356009977304
228,neighborhood_Veenker,582.2995151319453,582.2995151319453
87,condition_2_PosN,520.9448864878921,520.9448864878921
186,fence_GdWo,496.28562423435216,496.28562423435216
423,garage_yr_blt_1934.0,496.2285179378918,496.2285179378918
216,neighborhood_NAmes,-480.22079293600666,480.22079293600666
52,ms_subclass_190,-472.2445502087809,472.2445502087809
217,neighborhood_NPkVill,466.82457749950737,466.82457749950737
236,year_built_1896,459.3601788693219,459.3601788693219
158,bsmtfin_type_2_Unf,-450.9522056440887,450.9522056440887
174,functional_Typ,449.67805021937056,449.67805021937056
359,year_remod/add_1970,439.268486812548,439.268486812548
335,year_built_2006,435.13012275790163,435.13012275790163
